id,Degree,Year,Semester,Course,Regime,Language,Type,Duration,Professor,Class_Group,Value,duration,priority
654,LEM,1,1,APROG,D,PT,PL,2,JSM,1DA,1.0,2,1
656,LEM,1,1,APROG,D,PT,PL,2,JSM,1DC,1.0,2,1
658,LEM,1,1,APROG,D,PT,PL,2,JSM,1DE,1.0,2,1
660,LEM,1,1,APROG,D,PT,PL,2,JSM,1DG,1.0,2,1
662,LEM,1,1,APROG,D,PT,PL,2,JSM,1DI,1.0,2,1
736,LEM,1,1,FSIAP,D,PT,TP,2,MPA,1DF,1.0,2,1
741,LEM,1,1,FSIAP,D,PT,TP,2,MPA,1DK,1.0,2,1
802,LEM,1,1,FSIAP,N,PT,TP,2,MPA,1NC,1.0,2,1
1073,LEM,3,1,ORMAQ,D,PT,TP,2,AJC,3DB,1.0,2,1
1081,LEM,3,1,ORMAQ,D,PT,TP,2,AJC,3DJ_E,1.0,2,1
1102,LEM,3,1,PFAB2,D,PT,TP,2,RPM,3DA,1.0,2,1
1103,LEM,3,1,PFAB2,D,PT,TP,2,RPM,3DB,1.0,2,1
1104,LEM,3,1,PFAB2,D,PT,TP,2,RPM,3DC,1.0,2,1
1106,LEM,3,1,PFAB2,D,PT,TP,2,RPM,3DE,1.0,2,1
1107,LEM,3,1,PFAB2,D,PT,TP,2,RPM,3DF,1.0,2,1
1145,LEM,3,1,TRFCA-M,D,PT,TP,2,LOC,3DD,1.0,2,1
1165,LEM,3,1,ORGI1,N,PT,TP,2,VEC,3NB,1.0,2,1
132,LEM,1,1,FSIAP,D,PT,T,1,MPA,1DK,1.0,1,1
167,LEM,1,1,ALGAN,N,PT,T,1,MGM,1NB,1.0,1,1
169,LEM,1,1,ALGAN,N,PT,T,1,MGM,1NA,1.0,1,1
170,LEM,1,1,ALGAN,N,PT,T,1,MGM,1NB,1.0,1,1
171,LEM,1,1,ALGAN,N,PT,T,1,MGM,1NC,1.0,1,1
179,LEM,1,1,APROG,N,PT,T,1,JSM,1NB,1.0,1,1
573,LEM,3,1,ORMAQ,N,PT,T,1,AJC,3NB,1.0,1,1
590,LEM,3,1,TRFCA-M,N,PT,T,1,FAC,3NA,1.0,1,1
593,LEM,3,1,TRFCA-M,N,PT,T,1,FAC,3NA,1.0,1,1
599,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DA,1.0,1,1
600,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DB,1.0,1,1
601,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DC,1.0,1,1
602,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DD,1.0,1,1
603,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DE,1.0,1,1
604,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DF,1.0,1,1
605,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DG,1.0,1,1
606,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DH,1.0,1,1
607,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DI,1.0,1,1
608,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DJ,1.0,1,1
609,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DK,1.0,1,1
610,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DA,1.0,1,1
611,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DB,1.0,1,1
612,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DC,1.0,1,1
613,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DD,1.0,1,1
614,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DE,1.0,1,1
615,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DF,1.0,1,1
616,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DG,1.0,1,1
617,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DH,1.0,1,1
618,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DI,1.0,1,1
619,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DJ,1.0,1,1
620,LEM,1,1,ALGAN,D,PT,T,1,MGM,1DK,1.0,1,1
635,LEM,1,1,APROG,D,PT,T,1,JSM,1DD,1.0,1,1
636,LEM,1,1,APROG,D,PT,T,1,JSM,1DE,1.0,1,1
637,LEM,1,1,APROG,D,PT,T,1,JSM,1DF,1.0,1,1
638,LEM,1,1,APROG,D,PT,T,1,JSM,1DG,1.0,1,1
639,LEM,1,1,APROG,D,PT,T,1,JSM,1DH,1.0,1,1
640,LEM,1,1,APROG,D,PT,T,1,JSM,1DI,1.0,1,1
641,LEM,1,1,APROG,D,PT,T,1,JSM,1DJ,1.0,1,1
642,LEM,1,1,APROG,D,PT,T,1,JSM,1DK,1.0,1,1
643,LEM,1,1,APROG,D,PT,T,1,JSM,1DA,1.0,1,1
644,LEM,1,1,APROG,D,PT,T,1,JSM,1DB,1.0,1,1
645,LEM,1,1,APROG,D,PT,T,1,JSM,1DC,1.0,1,1
646,LEM,1,1,APROG,D,PT,T,1,JSM,1DD,1.0,1,1
647,LEM,1,1,APROG,D,PT,T,1,JSM,1DE,1.0,1,1
648,LEM,1,1,APROG,D,PT,T,1,JSM,1DF,1.0,1,1
649,LEM,1,1,APROG,D,PT,T,1,JSM,1DG,1.0,1,1
650,LEM,1,1,APROG,D,PT,T,1,JSM,1DH,1.0,1,1
651,LEM,1,1,APROG,D,PT,T,1,JSM,1DI,1.0,1,1
